Name,Size,Type,CR,URL,Font,Author,AC,HP,Speeds,Align.,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,Additional,average_damage,attack_modifier,has_legendary_action,legendary_action_damage,has_flight,resistance_count,immunity_count,weakness_count,save_dc,is_spellcaster,regeneration_per_round,multiattack_count,ability_count,ability_cr_weight,recharge_damage,limited_use_damage,bonus_action_damage
Slaad Tadpole,Tiny,Aberration,0.13,,Monster Manual,Wizards of the Coast,12,10,30,CN,7,15,10,3,5,3,None,Stealth,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,Own,Magic Resistance,,,,,,,,,,,,,,,,,
Stirge,Tiny,Beast,0.13,,Monster Manual,Wizards of the Coast,14,2,"10, fly 40",U,4,16,11,2,8,6,None,None,None,Darkvision 60,None,None,,,,,,,,,,,,,,,,,
Xvart,Small,Humanoid (Xvart),0.13,,Volo's Guide to Monsters,Wizards of the Coast,13,7,30,CE,8,14,10,8,7,7,None,Stealth,None,Darkvision 30,Abyssal,"Low Cunning, Overbearing Pack, Raxivort's Tongue",,,,,,,,,,,,,,,,,
Xvart Speaker,Small,Humanoid (Xvart),0.13,,Volo's Guide to Monsters,Wizards of the Coast,13,7,30,CE,8,14,10,13,7,7,None,Stealth,None,Darkvision 30,"Abyssal, Any","Low Cunning, Overbearing Pack, Raxivort's Tongue",,,,,,,,,,,,,,,,,
"Zuggtmoy, Bridesmaid",Medium,Plant,0.13,,Out of the Abyss,Wizards of the Coast,13,22,20,CE,14,11,11,14,8,18,None,None,None,Darkvision 60,Abyssal,Fungus Stride,,,,,,,,,,,,,,,,,
Aarakocra,Medium,Humanoid,0.25,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,Monster Manual,Wizards of the Coast,12,13,"20, 50 fly",NG,10,14,10,11,12,11,None,Perception,None,Normal,Auran,Dive Attack,,,,,,,,,,,,,,,,,
Albino Dwarf Warrior,Medium,Humanoid (Dwarf),0.25,,Tomb of Annihilation,Wizards of the Coast,13,30,25,ANY,13,13,17,12,14,11,None,"Perception, Stealth, Survival",Poisonres,Darkvision 60,"Common, Dwarvish",Dwarven Resilience,,,,,,,,,,,,,,,,,
"Animated Object, Broom of Attack",Small,Construct,0.25,,Curse of Strahd,Wizards of the Coast,15,17,50 fly,U,10,17,10,1,5,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu, proneimmu",Blindsight 30,None,"False, None",,,,,,,,,,,,,,,,,
"Animated Object, Flying Sword",Small,Construct,0.25,,Monster Manual,Wizards of the Coast,17,17,50 fly,U,12,15,11,1,5,1,DEX,None,"Coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,"Antimagic, False",,,,,,,,,,,,,,,,,
"Assorted Beast, Cattle",Large,Beast,0.25,,Volo's Guide to Monsters,Wizards of the Coast,10,15,30,U,18,10,14,2,10,4,None,None,None,Normal,None,Charge,,,,,,,,,,,,,,,,,
"Blight, Needle",Medium,Plant,0.25,,Monster Manual,Wizards of the Coast,12,11,30,NE,12,12,13,4,8,3,None,None,"Blindedimmu, deafenedimmu",Blindsight 60,Common,None,,,,,,,,,,,,,,,,,
Bullywug,Medium,Humanoid,0.25,,Monster Manual,Wizards of the Coast,15,11,"20, swim 40",NE,12,12,13,7,10,7,None,Stealth,None,Normal,Own,"Amphibious, Speak with Frogs, Speak with Toads, Swamp Camouflage, Standing Leap",,,,,,,,,,,,,,,,,
"Demon, Abyssal Wretch",Medium,Fiend (Demon),0.25,,Mordenkainen's Tome of Foes,Wizards of the Coast,11,18,20,CE,9,12,11,5,8,5,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,None,,,,,,,,,,,,,,,,,
"Demon, Dretch",small,Fiend (Demon),0.25,,Monster Manual,Wizards of the Coast,11,18,20,CE,11,11,12,5,8,3,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 60",None,,,,,,,,,,,,,,,,,
Derro,Small,Humanoid (Derro),0.25,,Mordenkainen's Tome of Foes,Wizards of the Coast,13,13,30,CE,10,14,12,11,5,9,None,Stealth,None,Darkvision 120,"Dwarvish, Undercommon","Magic Resistance, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
"Dinosaur, Dimetrodon",Medium,Beast,0.25,,Volo's Guide to Monsters,Wizards of the Coast,12,19,"30, swim 20",U,14,10,15,2,10,5,None,Perception,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Dinosaur, Hadrosaurus",Large,Beast,0.25,,Volo's Guide to Monsters,Wizards of the Coast,11,19,40,U,15,10,13,2,10,5,None,Perception,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Dinosaur, Pteranodon",Medium,Beast,0.25,,Monster Manual,Wizards of the Coast,13,13,"10, fly 60",U,12,15,10,2,9,5,None,Perception,None,Normal,None,Flyby,,,,,,,,,,,,,,,,,
"Dinosaur, Velociraptor",Tiny,Beast,0.25,,Volo's Guide to Monsters,Wizards of the Coast,13,10,30,U,6,14,13,4,12,6,None,Perception,None,Normal,None,Pack Tactics,,,,,,,,,,,,,,,,,
Drow,Medium,Humanoid,0.25,,Monster Manual,Wizards of the Coast,15,13,30,NE,10,14,10,11,11,12,None,"Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
"Fungus, Violet",Medium,Plant,0.25,,Monster Manual,Wizards of the Coast,5,18,5,U,3,1,10,1,3,1,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,False Appearance,,,,,,,,,,,,,,,,,
Geonid,Small,Elemental,0.25,,The Tortle Package,Wizards of the Coast,17,26,30,N,12,10,16,9,14,11,None,"Perception, Stealth",None,"Darkvision 60, tremorsense 30",Terran,Boulder Guise,,,,,,,,,,,,,,,,,
Gnoll Witherling,Medium,Undead,0.25,http://dndroll.wikidot.com/creatures:gnoll-witherling,Volo's Guide to Monsters,Wizards of the Coast,12,11,30,CE,14,8,12,5,5,5,None,None,"Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Gnoll,Rampage,,,,,,,,,,,,,,,,,
Goblin,small,Humanoid,0.25,,Monster Manual,Wizards of the Coast,15,7,30,NE,8,14,10,10,8,8,None,Stealth,None,Darkvision 60,"Common, Goblin",Nimble Escape,,,,,,,,,,,,,,,,,
Grimlock,Medium,Humanoid,0.25,,Monster Manual,Wizards of the Coast,11,11,30,NE,16,12,12,9,8,6,None,"Athletics, Perception, Stealth",Blindedimmu,Blindsight 30,Undercommon,"Blind Senses, Keen Hearing, Keen Smell, Stone Camouflage",,,,,,,,,,,,,,,,,
Grung,Small,Humanoid (Grung),0.25,,Volo's Guide to Monsters,Wizards of the Coast,12,11,"25, climb 25",LE,7,14,15,10,11,10,DEX,"Athletics, Perception, Stealth, Survival","Poisonimmu, poisonedimmu",Normal,Own,"Amphibious, Poisonous Skin, Standing Leap",,,,,,,,,,,,,,,,,
Ixitxachitl,Small,Aberration,0.25,,Out of the Abyss,Wizards of the Coast,15,18,swim 30,CE,12,16,13,12,13,7,None,None,None,Darkvision 60,"Abyssal, Own",None,,,,,,,,,,,,,,,,,
Kenku,Medium,Humanoid,0.25,,Monster Manual,Wizards of the Coast,13,13,30,CN,10,16,10,11,10,10,None,"Deception, Perception, Stealth",None,Normal,"Auran, Common","Ambusher, Mimicry",,,,,,,,,,,,,,,,,
Kobold Inventor,Small,Humanoid (Kobold),0.25,,Volo's Guide to Monsters,Wizards of the Coast,12,13,30,LE,7,15,12,8,7,8,None,Perception,None,Darkvision 60,"Common, Draconic","Pack Tactics, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
"Kobold, Winged",Small,Humanoid,0.25,,Monster Manual,Wizards of the Coast,13,7,"30, fly 30",LE,7,16,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic","Sunlight Sensitivity, Pack Tactics",,,,,,,,,,,,,,,,,
Kuo-Toa,Medium,Humanoid,0.25,,Monster Manual,Wizards of the Coast,13,13,"30, swim 30",NE,13,10,11,11,10,8,None,Perception,None,Darkvision 120,Undercommon,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity",,,,,,,,,,,,,,,,,
"Mephit, Mud",Small,Elemental,0.25,,Monster Manual,Wizards of the Coast,11,27,"20, fly 20, swim 20",NE,8,12,12,9,11,7,None,Stealth,"Poisonimmu, poisonedimmu",Darkivision 60,"Aquan, Terran","Death Burst, False Appearance",,,,,,,,,,,,,,,,,
"Mephit, Smoke",Small,Elemental,0.25,,Monster Manual,Wizards of the Coast,12,22,"30, fly 30",NE,6,14,12,10,10,11,None,"Perception, Stealth","Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Ignan","Death Burst, Innate Spellcasting",,,,,,,,,,,,,,,,,
"Mephit, Steam",Small,Elemental,0.25,,Monster Manual,Wizards of the Coast,10,21,"30, fly 30",NE,5,11,10,11,10,12,None,None,"Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Ignan","Death Burst, Innate Spellcasting",,,,,,,,,,,,,,,,,
"Misc. Creature, Axe Beak",Large,Beast,0.25,,Monster Manual,Wizards of the Coast,11,19,50,U,14,12,12,2,10,5,None,None,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Blink Dog",Medium,Fey,0.25,,Monster Manual,Wizards of the Coast,13,22,40,LG,12,17,12,10,13,11,None,"Perception, Stealth",None,Normal,"Own, Sylvan","Keen Hearing, Keen Smell, Pack Tactics",,,,,,,,,,,,,,,,,
"Misc. Creature, Boar",Medium,Beast,0.25,,Monster Manual,Wizards of the Coast,11,11,40,U,13,11,12,2,9,5,None,None,None,Normal,None,"Charge, Relentless",,,,,,,,,,,,,,,,,
"Misc. Creature, Constrictor Snake",large,Beast,0.25,,Monster Manual,Wizards of the Coast,12,13,"30, swim 30",U,15,14,12,1,10,3,None,None,None,Blindsight 10,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Draft Horse",Large,Beast,0.25,,Monster Manual,Wizards of the Coast,10,19,40,U,18,10,12,2,11,7,None,None,None,Normal,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Elk",Large,Beast,0.25,,Monster Manual,Wizards of the Coast,10,13,50,U,16,10,12,2,10,6,None,None,None,Normal,None,Charge,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Badger",Medium,Beast,0.25,,Monster Manual,Wizards of the Coast,10,13,"30, burrow 10",U,13,10,15,2,12,5,None,None,None,Darkvision 30,None,Keen Smell,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Bat",Large,Beast,0.25,,Monster Manual,Wizards of the Coast,13,22,"10, fly 60",U,15,16,11,2,12,6,None,None,None,Blindsight 60,None,"Echolocation, Keen Hearing",,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Centipede",small,Beast,0.25,,Monster Manual,Wizards of the Coast,13,4,30,U,5,14,12,1,7,3,None,None,None,Blindsight 30,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Frog",Medium,Beast,0.25,,Monster Manual,Wizards of the Coast,11,18,"30, swim 30",U,12,13,11,2,10,3,None,"Perception, Stealth",None,Darkvision 30,None,"Amphibious, Standing Leap",,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Lizard",Large,Beast,0.25,https://roll20.net/compendium/dnd5e/Giant%20Lizard#content,Monster Manual,Wizards of the Coast,12,19,"30, climb 30",U,15,12,13,2,10,5,None,None,None,Darkvision 30,None,None,,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Owl",Large,Beast,0.25,,Monster Manual,Wizards of the Coast,12,19,"5, fly 60",N,13,15,12,8,13,10,None,"Perception, Stealth",None,Darkvision 120,"Own, Common, Elvish, Sylvan","FLyby, Keen Hearing, Keen Sight",,,,,,,,,,,,,,,,,
"Misc. Creature, Giant Poisonous Snake",Medium,Beast,0.25,,Monster Manual,Wizards of the Coast,14,11,"30, swim 30",U,10,18,13,2,10,3,None,Perception,None,Blindsight 10,None,None,,,,,,,,,,,,,,,,,
